language,ISO_code,thisN,thisTrialN,thisRepN,message,EN,ES,FR,hand,inst_pic,image_w,image_h,text_x,inst_msg_EN,inst_msg_ES,stim,sequence_code,sequence_type,trial_type,key_presses,sequence_picture,prompt_before,prompt,block_adv_resp.keys,block_adv_resp.rt,block_adv_resp.duration,adv_trial.keys,adv_trial.rt,adv_trial.duration,seq_resp.keys,seq_resp.rt,seq_resp.duration,self_assess_question_EN,label_min_EN,label_middle_EN,label_max_EN,self_assess_question_ES,label_min_ES,label_middle_ES,label_max_ES,slider.response,slider.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,lang_loop.thisRepN,lang_loop.thisTrialN,lang_loop.thisN,lang_loop.thisIndex,messages_loop.thisRepN,messages_loop.thisTrialN,messages_loop.thisN,messages_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,seq_loop.thisRepN,seq_loop.thisTrialN,seq_loop.thisN,seq_loop.thisIndex,self_assess_loop.thisRepN,self_assess_loop.thisTrialN,self_assess_loop.thisN,self_assess_loop.thisIndex,thisRow.t,notes,language_code,counterbalance.group,counterbalance.remaining,load_lg.started,load_lg.stopped,msg_name,msg_value,title_text.started,left_poly.started,right_poly.started,left_text.started,right_text.started,mouse.started,handedness,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,task_title.started,block_start.started,block_main_text.started,block_number_text.started,block_adv_resp.started,timer.started,block_start.stopped,block_number,block_pause,blocks_loop.block_adv_resp.keys,blocks_loop.block_adv_resp.rt,blocks_loop.block_adv_resp.duration,reps_per_block,sequence_selected,pre_trial.started,instruction.started,adv_trial.started,press_space_text.started,pre_trial.stopped,seq_loop.adv_trial.keys,seq_loop.adv_trial.rt,seq_loop.adv_trial.duration,seq_trial.started,fix_cross.started,seq_image.started,box_F.started,box_G.started,box_H.started,box_J.started,seq_resp.started,seq_trial.stopped,seq_typed,seq_acc,seq_time,seq_loop.seq_resp.keys,seq_loop.seq_resp.rt,seq_loop.seq_resp.duration,crit_counter,seq_fb.started,seq_fb_text.started,sound_corr.started,sound_incorr.started,sound_corr.stopped,sound_incorr.stopped,seq_fb.stopped,self_assess.started,self_assess_text.started,slider.started,label_0.started,label_5.started,label_10.started,mouse_2.started,next_poly.started,next_text.started,self_assess.stopped,self_assess_loop.slider.response,self_assess_loop.slider.rt,self_assess_loop.mouse_2.x,self_assess_loop.mouse_2.y,self_assess_loop.mouse_2.leftButton,self_assess_loop.mouse_2.midButton,self_assess_loop.mouse_2.rightButton,self_assess_loop.mouse_2.time,self_assess_loop.mouse_2.clicked_name,bye.started,bye_text.started,bye.stopped,participant,session,language,date,expName,expVersion,psychopyVersion,frameRate,expStart
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,FR,32,32,0,prompt_ima_msg,"IMAGINE this sequence
(press only the First/Last keys).","IMAGINA esta secuencia
(presiona solo la Primera/Última tecla)",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,32,32,32,,,,,,,,,,,,,,,,,0.2456912,,EN,,,0.0503519,0.0505267,prompt_ima_msg,"IMAGINE this sequence
(press only the First/Last keys).",0.2456912,0.2456912,0.2456912,0.2456912,0.2456912,0.1636165,right,[np.float64(0.11296296296296296)],[np.float64(-0.2722222222222222)],[1],[0],[0],[1.3212735999986762],"['right_poly', 'right_poly']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,0,0,0,,,,,right,images/seq_right.png,0,0,0,"The goal of the task is to complete the sequence as QUICKLY and ACCURATELY as you can, in both execution and imagery.

However, we ask you to PRIORITISE ACCURACY over speed. That is, try to complete the task as quickly as you can, while ensuring you  complete the sequence correctly.

You do not have to start typing or imagining immediately after the trial begins, but when you start the movement, try to complete it as quickly and accurately as you can.",Test7,1,fghjjhgf,simple,execution,8,stimuli/simple_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,1.6556641,None,space,0.6432529,None,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[0.9462003000007826, 1.17178419999982, 1.4141251999972155, 1.6380155000006198, 1.8922695000001113, 2.085688899998786, 2.3219104999952833, 2.5633577999979025]","[0.12393069999961881, 0.12982760000159033, 0.1482112000012421, 0.13622870000108378, 0.12955479999800446, 0.1564323999991757, 0.13418580000143265, None]",,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,0,0,0,0,0,0,0,0,,,,,11.8937288,,,,,,,,,,,,,,,right,,,,,,,,9.2540637,10.1494294,10.1557413,10.1557413,10.1557413,10.1557413,11.8252045,1,1,space,1.6556641,None,999,simple,11.8901656,11.8937288,11.8937288,11.8937288,12.5432457,space,0.6432529,None,12.5603488,12.5664711,12.5664711,12.5664711,12.5664711,12.5664711,12.5664711,12.5664711,15.1597848,fghjjhgf,1,1.62,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[0.9462003000007826, 1.17178419999982, 1.4141251999972155, 1.6380155000006198, 1.8922695000001113, 2.085688899998786, 2.3219104999952833, 2.5633577999979025]","[0.12393069999961881, 0.12982760000159033, 0.1482112000012421, 0.13622870000108378, 0.12955479999800446, 0.1564323999991757, 0.13418580000143265, None]",1,15.2225861,15.2257196,15.22406397,15.22406397,16.2363826,16.2363826,18.1587387,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,1,1,0,,,,,right,,,,,,,2,ff,simple,imagery,2,stimuli/simple_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,1.6556641,None,space,0.596875,None,"['f', 'f']","[0.5932399999946938, 0.9533309999969788]","[0.15166250000038417, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,18.1792665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.175248,18.1792665,18.1792665,18.1792665,18.792629,space,0.596875,None,18.8088744,18.8149385,18.8149385,18.8149385,18.8149385,18.8149385,18.8149385,18.8149385,19.7933686,ff,1,0.36,"['f', 'f']","[0.5932399999946938, 0.9533309999969788]","[0.15166250000038417, None]",1,19.8191237,19.8221674,19.82401433,19.82401433,20.8472307,20.8472307,22.7920779,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,2,2,0,,,,,right,,,,,,,3,fjghhgjf,complex,execution,8,stimuli/complex_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,1.6556641,None,space,0.3926144,None,"['f', 'j', 'g', 'h', 'h', 'g', 'j', 'f']","[0.7522831000023871, 0.963956200001121, 1.1438974999982747, 1.3550448999958462, 1.5939040000012028, 1.772987500000454, 1.9600159999972675, 2.166947199999413]","[0.16352360000018962, 0.1442139999999199, 0.1432580999971833, 0.137395200006722, 0.13459109999530483, 0.16215599999850383, 0.15163530000427272, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,22.8071615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8003803,22.8071615,22.8071615,22.8071615,23.2101874,space,0.3926144,None,23.2273819,23.234557,23.234557,23.234557,23.234557,23.234557,23.234557,23.234557,25.4278207,fjghhgjf,1,1.41,"['f', 'j', 'g', 'h', 'h', 'g', 'j', 'f']","[0.7522831000023871, 0.963956200001121, 1.1438974999982747, 1.3550448999958462, 1.5939040000012028, 1.772987500000454, 1.9600159999972675, 2.166947199999413]","[0.16352360000018962, 0.1442139999999199, 0.1432580999971833, 0.137395200006722, 0.13459109999530483, 0.16215599999850383, 0.15163530000427272, None]",1,25.4555204,25.4586429,25.45732763,25.45732763,26.4670802,26.4670802,28.4251542,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,3,3,0,,,,,right,,,,,,,4,ff,complex,imagery,2,stimuli/complex_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,1.6556641,None,space,0.4995392,None,"['f', 'f']","[0.6052360000030603, 2.596450000004552]","[0.13416809999762336, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,28.441202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4361659,28.441202,28.441202,28.441202,28.9433073,space,0.4995392,None,28.9859575,28.9963391,28.9963391,28.9963391,28.9963391,28.9963391,28.9963391,28.9963391,31.6109314,ff,1,1.99,"['f', 'f']","[0.6052360000030603, 2.596450000004552]","[0.13416809999762336, None]",1,31.6536189,31.6587161,31.6573687,31.6573687,32.6668564,32.6668564,34.6076588,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,4,0,1,,,,,right,,,,,,,1,fghjjhgf,simple,execution,8,stimuli/simple_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,1.6556641,None,space,0.5652873,None,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[0.6220995000039693, 0.8402962000036496, 1.0693496000021696, 1.26456390000385, 1.5063032999969437, 1.6947635000033188, 1.9001757000005455, 2.1250075999996625]","[0.15255539999634493, 0.14369349999469705, 0.13826439999684226, 0.13423129999864614, 0.14132160000008298, 0.1740434999956051, 0.14368719999765744, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,0,,,,,34.6234156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6164919,34.6234156,34.6234156,34.6234156,35.1924194,space,0.5652873,None,35.2057915,35.214743,35.214743,35.214743,35.214743,35.214743,35.214743,35.214743,37.3619394,fghjjhgf,1,1.5,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[0.6220995000039693, 0.8402962000036496, 1.0693496000021696, 1.26456390000385, 1.5063032999969437, 1.6947635000033188, 1.9001757000005455, 2.1250075999996625]","[0.15255539999634493, 0.14369349999469705, 0.13826439999684226, 0.13423129999864614, 0.14132160000008298, 0.1740434999956051, 0.14368719999765744, None]",2,37.3965269,37.4022784,37.4071654,37.4071654,38.4170724,38.4170724,40.3584107,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,5,1,1,,,,,right,,,,,,,2,ff,simple,imagery,2,stimuli/simple_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,1.6556641,None,space,0.5921058,None,"['f', 'f']","[1.1630482999971719, 2.9351327999975183]","[0.14519209999707527, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,1,,,,,40.3755898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3697249,40.3755898,40.3755898,40.3755898,40.9761546,space,0.5921058,None,40.9925108,40.9992485,40.9992485,40.9992485,40.9992485,40.9992485,40.9992485,40.9992485,43.9595829,ff,1,1.77,"['f', 'f']","[1.1630482999971719, 2.9351327999975183]","[0.14519209999707527, None]",2,43.9843501,43.9874464,43.99006433,43.99006433,44.9977598,44.9977598,46.9577236,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,6,2,1,,,,,right,,,,,,,3,fjghhgjf,complex,execution,8,stimuli/complex_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,1.6556641,None,space,0.4588471,None,"['f', 'j', 'g', 'h', 'h', 'g', 'j', 'f']","[0.6035182999985409, 0.7764886000004481, 0.9644144000048982, 1.1466685000050347, 1.3352152000006754, 1.483575700003712, 1.6444203999999445, 1.7836242000048514]","[0.1377007000046433, 0.14431100000365404, 0.13380739999411162, 0.10961019999376731, 0.11000600000261329, 0.13008099999569822, 0.13227390000247397, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,2,,,,,46.9729818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9666571,46.9729818,46.9729818,46.9729818,47.4432463,space,0.4588471,None,47.4560684,47.4630862,47.4630862,47.4630862,47.4630862,47.4630862,47.4630862,47.4630862,49.2784129,fjghhgjf,1,1.18,"['f', 'j', 'g', 'h', 'h', 'g', 'j', 'f']","[0.6035182999985409, 0.7764886000004481, 0.9644144000048982, 1.1466685000050347, 1.3352152000006754, 1.483575700003712, 1.6444203999999445, 1.7836242000048514]","[0.1377007000046433, 0.14431100000365404, 0.13380739999411162, 0.10961019999376731, 0.11000600000261329, 0.13008099999569822, 0.13227390000247397, None]",2,49.3063727,49.3091156,49.30703813,49.30703813,50.3272265,50.3272265,52.274434,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,7,3,1,,,,,right,,,,,,,4,ff,complex,imagery,2,stimuli/complex_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,1.6556641,None,space,0.4260703,None,"['f', 'f']","[0.7647968000019318, 2.1502333999960683]","[0.15179229999921517, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,3,,,,,52.2896708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2846271,52.2896708,52.2896708,52.2896708,52.7257289,space,0.4260703,None,52.747306,52.7546926,52.7546926,52.7546926,52.7546926,52.7546926,52.7546926,52.7546926,54.9284089,ff,1,1.39,"['f', 'f']","[0.7647968000019318, 2.1502333999960683]","[0.15179229999921517, None]",2,54.9568706,54.9606011,54.9735357,54.9735357,55.9873279,55.9873279,57.9242304,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,0,0,0,,,,,right,,,,,,,1,fghjjhgf,simple,execution,8,stimuli/simple_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,0.8259848,None,space,0.7635426,None,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[0.6323260999997729, 0.7987370999981067, 1.003741499996977, 1.179534999995667, 1.3839337999961572, 1.5695426999955089, 1.7372785999978078, 1.9339368999935687]","[0.13373889999638777, 0.15325099999608938, 0.14269010000134585, 0.14331240000319667, 0.11534419999952661, 0.14459760000318056, 0.13799640000070212, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,58.8279051,,,,,,,,,,,,,,,,,,,,,,,,57.9657915,57.9692984,57.9692984,57.9692984,57.9692984,58.8093532,2,0,space,0.8259848,None,10,simple,58.824606,58.8279051,58.8279051,58.8279051,59.6084626,space,0.7635426,None,59.6201877,59.6263264,59.6263264,59.6263264,59.6263264,59.6263264,59.6263264,59.6263264,61.5929517,fghjjhgf,1,1.3,"['f', 'g', 'h', 'j', 'j', 'h', 'g', 'f']","[0.6323260999997729, 0.7987370999981067, 1.003741499996977, 1.179534999995667, 1.3839337999961572, 1.5695426999955089, 1.7372785999978078, 1.9339368999935687]","[0.13373889999638777, 0.15325099999608938, 0.14269010000134585, 0.14331240000319667, 0.11534419999952661, 0.14459760000318056, 0.13799640000070212, None]",,61.6117707,,,,,,61.6118121,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,1,1,0,,,,,right,,,,,,,2,ff,simple,imagery,2,stimuli/simple_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,0.8259848,None,space,2.02999,None,"['f', 'f']","[1.138736400003836, 2.69710219999979]","[0.10219119999965187, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,,,,,61.6186334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6154348,61.6186334,61.6186334,61.6186334,63.658304,space,2.02999,None,63.6731404,63.6796797,63.6796797,63.6796797,63.6796797,63.6796797,63.6796797,63.6796797,66.410202,ff,1,1.56,"['f', 'f']","[1.138736400003836, 2.69710219999979]","[0.10219119999965187, None]",,66.4355476,,,,,,66.4355909,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,2,2,0,,,,,right,,,,,,,3,fjghhgjf,complex,execution,8,stimuli/complex_execution_right.png,pre_prompt_exe_msg,prompt_exe_msg,space,0.8259848,None,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,2,,,,,66.5025782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4388027,,,,66.4388286,None,,,66.4449128,,,,,,,,66.444958,,0,999,None,,,,66.4649173,,,,,,66.4649556,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
English,,3,3,0,,,,,right,,,,,,,4,ff,complex,imagery,2,stimuli/complex_imagery_right.png,pre_promt_ima_msg,prompt_ima_msg,space,0.8259848,None,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,3,3,,,,,66.5025782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4687359,,,,66.4687654,None,,,66.475871,,,,,,,,66.4759138,,0,999,None,,,,66.4956202,,,,,,66.4956577,,,,,,,,,,,,,,,,,,,,,,,364563,001,English,2025-11-28_20h47.07.368,iFST,,2025.1.0,60.09301197,2025-11-28 20h47.19.589341 -0500
